2024-04-05T18:41:43.426Z	Mon1	read	success	Connected to MySQL database.
2024-04-05T18:41:43.611Z	Mon1	database	success	Connected to MongoDB.
2024-04-05T18:41:43.733Z	Mon1	write	success	Document inserted to MongoDB: {"EndpointApi1":"https://monitoringapi.solaredge.com/equipment/","DeviceTypeID":"6d89c293-e7b0-11ee-8d11-892f4ffe0f4b","DeviceMake":"Solaredge","Api1Body":"{\"command\":\"getData\"}","HeaderforApi1":"{\"Content-Type\":\"application/json\"}","DeviceSerialNumber":"7E1388DA-F3","ModelNo":"675746","PlantID":"37c12996-e7ae-11ee-8d11-892f4ffe0f4b","DeviceType":"Inverter","Capacity":"5KW","Phase":"Single Phase","DeviceUUID":"cce8005e-e7b0-11ee-8d11-892f4ffe0f4b","modelno":"675746","API_Key":"58G0DE59GK1XD9AHGBPWDU4SOF06VFM2","plant":{"PlantID":"37c12996-e7ae-11ee-8d11-892f4ffe0f4b","IntegratorID":"48f076ef-e7ad-11ee-8d11-892f4ffe0f4b","API_Key":"58G0DE59GK1XD9AHGBPWDU4SOF06VFM2","PlantName":"Vishnu","Latitude":17.385,"Longitude":78.4867},"requestTime":"23:57","requestSerialNumber":"20240406-000001","metadata":{"integratorId":"48f076ef-e7ad-11ee-8d11-892f4ffe0f4b","plantName":"Vishnu","latitude":17.385,"longitude":78.4867,"PlantID":"37c12996-e7ae-11ee-8d11-892f4ffe0f4b","deviceUUID":"cce8005e-e7b0-11ee-8d11-892f4ffe0f4b","deviceMake":"Solaredge","deviceType":"Inverter","capacity":"5KW","phase":"Single Phase","modelno":"675746","API_Key":"58G0DE59GK1XD9AHGBPWDU4SOF06VFM2"},"_id":"661045e772c02061ef4a0225"}
2024-04-05T18:41:43.809Z	Mon1	write	success	Document inserted to MongoDB: {"EndpointApi1":"https://monitoringapi.solaredge.com/equipment/","DeviceTypeID":"6d89c293-e7b0-11ee-8d11-892f4ffe0f4b","DeviceMake":"Solaredge","Api1Body":"{\"command\":\"getData\"}","HeaderforApi1":"{\"Content-Type\":\"application/json\"}","DeviceSerialNumber":"7E13A7F5-2D","ModelNo":"2081598","PlantID":"37c12996-e7ae-11ee-8d11-892f4ffe0f4b","DeviceType":"Inverter","Capacity":"5KW","Phase":"Multiple Phase","DeviceUUID":"f66eefb0-eb62-11ee-8d11-892f4ffe0f4b","modelno":"2081598","API_Key":"58G0DE59GK1XD9AHGBPWDU4SOF06VFM2\r\n","plant":{"PlantID":"37c12996-e7ae-11ee-8d11-892f4ffe0f4b","IntegratorID":"48f076ef-e7ad-11ee-8d11-892f4ffe0f4b","API_Key":"58G0DE59GK1XD9AHGBPWDU4SOF06VFM2","PlantName":"Vishnu","Latitude":17.385,"Longitude":78.4867},"requestTime":"23:57","requestSerialNumber":"20240406-000002","metadata":{"integratorId":"48f076ef-e7ad-11ee-8d11-892f4ffe0f4b","plantName":"Vishnu","latitude":17.385,"longitude":78.4867,"PlantID":"37c12996-e7ae-11ee-8d11-892f4ffe0f4b","deviceUUID":"f66eefb0-eb62-11ee-8d11-892f4ffe0f4b","deviceMake":"Solaredge","deviceType":"Inverter","capacity":"5KW","phase":"Multiple Phase","modelno":"2081598","API_Key":"58G0DE59GK1XD9AHGBPWDU4SOF06VFM2\r\n"},"_id":"661045e772c02061ef4a0226"}
2024-04-05T18:41:43.889Z	Mon1	write	success	Document inserted to MongoDB: {"EndpointApi1":"https://www.soliscloud.com:13333/v1/api/userStationList","DeviceTypeID":"4ddfe305-e903-11ee-8d11-892f4ffe0f4b","DeviceMake":"Solis","Api1Body":"{\r\n\"pageNo\": 1, \"pageSize\": 10, \"user\": \"2881847\" }","HeaderforApi1":"{\"Content-MD5\":\"ooUbFl4OVng2nEfAynB32Q==\"}","DeviceSerialNumber":"SN-67890","ModelNo":"SOL-5678X","PlantID":"9867bc09-e905-11ee-8d11-892f4ffe0f4b","DeviceType":"Inverter","Capacity":"10KW","Phase":"Single Phase","DeviceUUID":"d814991c-e905-11ee-8d11-892f4ffe0f4b","modelno":"SOL-5678X","API_Key":"1300319277300393317","plant":{"PlantID":"9867bc09-e905-11ee-8d11-892f4ffe0f4b","IntegratorID":"48f076ef-e7ad-11ee-8d11-892f4ffe0f4b","API_Key":"1300319277300393317","PlantName":"Mohana","Latitude":17.385,"Longitude":78.4867},"requestTime":"23:57","requestSerialNumber":"20240406-000003","metadata":{"integratorId":"48f076ef-e7ad-11ee-8d11-892f4ffe0f4b","plantName":"Mohana","latitude":17.385,"longitude":78.4867,"PlantID":"9867bc09-e905-11ee-8d11-892f4ffe0f4b","deviceUUID":"d814991c-e905-11ee-8d11-892f4ffe0f4b","deviceMake":"Solis","deviceType":"Inverter","capacity":"10KW","phase":"Single Phase","modelno":"SOL-5678X","API_Key":"1300319277300393317"},"_id":"661045e772c02061ef4a0227"}
2024-11-02T07:29:49.548Z	L1	Mon1	MON-1 Service	success	Started Successfully...
2024-11-02T07:29:49.550Z	L2	Mon1	database	success	Connected to MongoDB.
2024-11-02T07:29:49.552Z	undefined	Fetching and inserting greater device data...	undefined	undefined	undefined
2024-11-02T07:29:49.618Z	L2	Mon1	read	success	Connected to MySQL database.
2024-11-02T07:29:49.746Z	L2	Mon1	write	success	Document inserted to MongoDB: {"EndpointApi1":"https://monitoringapi.solaredge.com/equipment/","DeviceTypeID":"6d89c293-e7b0-11ee-8d11-892f4ffe0f4b","DeviceMake":"Solaredge","Api1Body":"{\"command\":\"getData\"}","HeaderforApi1":"{\"Content-Type\":\"application/json\"}","DeviceSerialNumber":"7E1388DA-F3","ModelNo":"675746","PlantID":"37c12996-e7ae-11ee-8d11-892f4ffe0f4b","DeviceType":"3","capacity":33.5,"deviceserialnumber":"7E1388DA-F3","capacity_uom":"KW","DeviceUUID":"cce8005e-e7b0-11ee-8d11-892f4ffe0f4b","modelno":"675746","API_Key":"58G0DE59GK1XD9AHGBPWDU4SOF06VFM2","Creation_Date_time":"2024-03-21T06:45:00.000Z","metadata":{"integratorId":"48f076ef-e7ad-11ee-8d11-892f4ffe0f4b","plantName":"Vishnu","PlantSystemType":"PV","PlantType":"Solar","PlantID":"37c12996-e7ae-11ee-8d11-892f4ffe0f4b","PlantSL_NO":"636412","Plant_capacity":89,"Capacity_UOM":"KW","Azimuthal_angle":180,"Tilt_angle":15,"Country":"India","Region":"South","State":"Telangana","District":"Rangareddy","latitude":17.385,"longitude":78.4867,"deviceUUID":"cce8005e-e7b0-11ee-8d11-892f4ffe0f4b","deviceMake":"Solaredge","deviceType":"3","deviceModelno":"675746","deviceSrialno":"7E1388DA-F3","deviceCapacity":33.5,"deviceCapacity_uom":"KW","API_Key":"58G0DE59GK1XD9AHGBPWDU4SOF06VFM2"},"_id":"6725d4edb5633ac12960177f"}
2024-11-02T07:29:49.746Z	L1	Mon1	MON-1 Service	success	Executed Successfully...
2024-11-02T07:29:49.800Z	L2	Mon1	write	success	Document inserted to MongoDB: {"EndpointApi1":"https://monitoringapi.solaredge.com/equipment/","DeviceTypeID":"6d89c293-e7b0-11ee-8d11-892f4ffe0f4b","DeviceMake":"Solaredge","Api1Body":"{\"command\":\"getData\"}","HeaderforApi1":"{\"Content-Type\":\"application/json\"}","DeviceSerialNumber":"7E13A7F5-2D","ModelNo":"2081598","PlantID":"37c12996-e7ae-11ee-8d11-892f4ffe0f4b","DeviceType":"3","capacity":50.05,"deviceserialnumber":"7E13A7F5-2D","capacity_uom":"KW","DeviceUUID":"f66eefb0-eb62-11ee-8d11-892f4ffe0f4b","modelno":"2081598","API_Key":"58G0DE59GK1XD9AHGBPWDU4SOF06VFM2","Creation_Date_time":"2024-03-20T18:30:00.000Z","metadata":{"integratorId":"48f076ef-e7ad-11ee-8d11-892f4ffe0f4b","plantName":"Vishnu","PlantSystemType":"PV","PlantType":"Solar","PlantID":"37c12996-e7ae-11ee-8d11-892f4ffe0f4b","PlantSL_NO":"636412","Plant_capacity":89,"Capacity_UOM":"KW","Azimuthal_angle":180,"Tilt_angle":15,"Country":"India","Region":"South","State":"Telangana","District":"Rangareddy","latitude":17.385,"longitude":78.4867,"deviceUUID":"f66eefb0-eb62-11ee-8d11-892f4ffe0f4b","deviceMake":"Solaredge","deviceType":"3","deviceModelno":"2081598","deviceSrialno":"7E13A7F5-2D","deviceCapacity":50.05,"deviceCapacity_uom":"KW","API_Key":"58G0DE59GK1XD9AHGBPWDU4SOF06VFM2"},"_id":"6725d4edb5633ac129601780"}
2024-11-02T07:29:49.801Z	L1	Mon1	MON-1 Service	success	Executed Successfully...
2024-11-02T07:29:49.873Z	L2	Mon1	write	success	Document inserted to MongoDB: {"EndpointApi1":"https://www.soliscloud.com:13333/v1/api/userStationList","DeviceTypeID":"4ddfe305-e903-11ee-8d11-892f4ffe0f4b","DeviceMake":"Solis","Api1Body":"{\r\n\"pageNo\": 1, \"pageSize\": 10, \"user\": \"2881847\" }","HeaderforApi1":"{\"Content-MD5\":\"ooUbFl4OVng2nEfAynB32Q==\"}","DeviceSerialNumber":"SN-67890","ModelNo":"SOL-5678X","PlantID":"9867bc09-e905-11ee-8d11-892f4ffe0f4b","DeviceType":"2","capacity":8,"deviceserialnumber":"SN-67890","capacity_uom":"KW","DeviceUUID":"d814991c-e905-11ee-8d11-892f4ffe0f4b","modelno":"SOL-5678X","API_Key":"1300319277300393317","Creation_Date_time":"2024-03-20T18:30:00.000Z","metadata":{"integratorId":"48f076ef-e7ad-11ee-8d11-892f4ffe0f4b","plantName":"Mohana","PlantSystemType":"V1","PlantType":"Inverter","PlantID":"9867bc09-e905-11ee-8d11-892f4ffe0f4b","PlantSL_NO":"934221","Plant_capacity":8,"Capacity_UOM":"KW","Azimuthal_angle":180,"Tilt_angle":15,"Country":"India","Region":"South","State":"Telangana","District":"Rangareddy","latitude":17.385,"longitude":78.4867,"deviceUUID":"d814991c-e905-11ee-8d11-892f4ffe0f4b","deviceMake":"Solis","deviceType":"2","deviceModelno":"SOL-5678X","deviceSrialno":"SN-67890","deviceCapacity":8,"deviceCapacity_uom":"KW","API_Key":"1300319277300393317"},"_id":"6725d4edb5633ac129601781"}
2024-11-02T07:29:49.873Z	L1	Mon1	MON-1 Service	success	Executed Successfully...
2024-11-02T07:30:00.347Z	L2	Mon1	latestCreationDate	info	No new devices found.
2025-01-11T04:25:19.107Z	L2	Mon1	read	success	Connected to MySQL database.
2025-01-11T04:25:19.273Z	L1	Mon1	MON-1 Service	success	Started Successfully...
2025-01-11T04:25:19.275Z	undefined	Fetching and inserting greater device data...	undefined	undefined	undefined
2025-01-11T04:25:19.274Z	L2	Mon1	database	success	Connected to MongoDB.
2025-01-11T04:25:19.383Z	L2	Mon1	write	success	Document inserted to MongoDB: {"EndpointApi1":"https://monitoringapi.solaredge.com/equipment/","DeviceTypeID":"6d89c293-e7b0-11ee-8d11-892f4ffe0f4b","DeviceMake":"Solaredge","Api1Body":"{\"command\":\"getData\"}","HeaderforApi1":"{\"Content-Type\":\"application/json\"}","DeviceSerialNumber":"7E1388DA-F3","ModelNo":"675746","PlantID":"37c12996-e7ae-11ee-8d11-892f4ffe0f4b","DeviceType":"3","capacity":33.5,"deviceserialnumber":"7E1388DA-F3","capacity_uom":"KW","DeviceUUID":"cce8005e-e7b0-11ee-8d11-892f4ffe0f4b","modelno":"675746","API_Key":"58G0DE59GK1XD9AHGBPWDU4SOF06VFM2","Creation_Date_time":"2024-03-21T06:45:00.000Z","metadata":{"integratorId":"48f076ef-e7ad-11ee-8d11-892f4ffe0f4b","plantName":"Vishnu","PlantSystemType":"PV","PlantType":"Solar","PlantID":"37c12996-e7ae-11ee-8d11-892f4ffe0f4b","PlantSL_NO":"636412","Plant_capacity":89,"Capacity_UOM":"KW","Azimuthal_angle":180,"Tilt_angle":15,"Country":"India","Region":"South","State":"Telangana","District":"Rangareddy","latitude":17.385,"longitude":78.4867,"deviceUUID":"cce8005e-e7b0-11ee-8d11-892f4ffe0f4b","deviceMake":"Solaredge","deviceType":"3","deviceModelno":"675746","deviceSrialno":"7E1388DA-F3","deviceCapacity":33.5,"deviceCapacity_uom":"KW","API_Key":"58G0DE59GK1XD9AHGBPWDU4SOF06VFM2"},"_id":"6781f2af47945e513a63cf63"}
2025-01-11T04:25:19.384Z	L1	Mon1	MON-1 Service	success	Executed Successfully...
2025-01-11T04:25:19.430Z	L2	Mon1	write	success	Document inserted to MongoDB: {"EndpointApi1":"https://monitoringapi.solaredge.com/equipment/","DeviceTypeID":"6d89c293-e7b0-11ee-8d11-892f4ffe0f4b","DeviceMake":"Solaredge","Api1Body":"{\"command\":\"getData\"}","HeaderforApi1":"{\"Content-Type\":\"application/json\"}","DeviceSerialNumber":"7E13A7F5-2D","ModelNo":"2081598","PlantID":"37c12996-e7ae-11ee-8d11-892f4ffe0f4b","DeviceType":"3","capacity":50.05,"deviceserialnumber":"7E13A7F5-2D","capacity_uom":"KW","DeviceUUID":"f66eefb0-eb62-11ee-8d11-892f4ffe0f4b","modelno":"2081598","API_Key":"58G0DE59GK1XD9AHGBPWDU4SOF06VFM2","Creation_Date_time":"2024-03-20T18:30:00.000Z","metadata":{"integratorId":"48f076ef-e7ad-11ee-8d11-892f4ffe0f4b","plantName":"Vishnu","PlantSystemType":"PV","PlantType":"Solar","PlantID":"37c12996-e7ae-11ee-8d11-892f4ffe0f4b","PlantSL_NO":"636412","Plant_capacity":89,"Capacity_UOM":"KW","Azimuthal_angle":180,"Tilt_angle":15,"Country":"India","Region":"South","State":"Telangana","District":"Rangareddy","latitude":17.385,"longitude":78.4867,"deviceUUID":"f66eefb0-eb62-11ee-8d11-892f4ffe0f4b","deviceMake":"Solaredge","deviceType":"3","deviceModelno":"2081598","deviceSrialno":"7E13A7F5-2D","deviceCapacity":50.05,"deviceCapacity_uom":"KW","API_Key":"58G0DE59GK1XD9AHGBPWDU4SOF06VFM2"},"_id":"6781f2af47945e513a63cf64"}
2025-01-11T04:25:19.430Z	L1	Mon1	MON-1 Service	success	Executed Successfully...
2025-01-11T04:25:19.502Z	L2	Mon1	write	success	Document inserted to MongoDB: {"EndpointApi1":"https://www.soliscloud.com:13333/v1/api/userStationList","DeviceTypeID":"4ddfe305-e903-11ee-8d11-892f4ffe0f4b","DeviceMake":"Solis","Api1Body":"{\r\n\"pageNo\": 1, \"pageSize\": 10, \"user\": \"2881847\" }","HeaderforApi1":"{\"Content-MD5\":\"ooUbFl4OVng2nEfAynB32Q==\"}","DeviceSerialNumber":"SN-67890","ModelNo":"SOL-5678X","PlantID":"9867bc09-e905-11ee-8d11-892f4ffe0f4b","DeviceType":"2","capacity":8,"deviceserialnumber":"SN-67890","capacity_uom":"KW","DeviceUUID":"d814991c-e905-11ee-8d11-892f4ffe0f4b","modelno":"SOL-5678X","API_Key":"1300319277300393317","Creation_Date_time":"2024-03-20T18:30:00.000Z","metadata":{"integratorId":"48f076ef-e7ad-11ee-8d11-892f4ffe0f4b","plantName":"Mohana","PlantSystemType":"V1","PlantType":"Inverter","PlantID":"9867bc09-e905-11ee-8d11-892f4ffe0f4b","PlantSL_NO":"934221","Plant_capacity":8,"Capacity_UOM":"KW","Azimuthal_angle":180,"Tilt_angle":15,"Country":"India","Region":"South","State":"Telangana","District":"Rangareddy","latitude":17.385,"longitude":78.4867,"deviceUUID":"d814991c-e905-11ee-8d11-892f4ffe0f4b","deviceMake":"Solis","deviceType":"2","deviceModelno":"SOL-5678X","deviceSrialno":"SN-67890","deviceCapacity":8,"deviceCapacity_uom":"KW","API_Key":"1300319277300393317"},"_id":"6781f2af47945e513a63cf65"}
2025-01-11T04:25:19.502Z	L1	Mon1	MON-1 Service	success	Executed Successfully...
2025-01-11T04:30:00.855Z	L2	Mon1	latestCreationDate	info	No new devices found.
2025-01-11T04:49:15.776Z	L2	Mon1	read	success	Connected to MySQL database.
2025-01-11T04:49:15.903Z	L1	Mon1	MON-1 Service	success	Started Successfully...
2025-01-11T04:49:15.906Z	undefined	Fetching and inserting greater device data...	undefined	undefined	undefined
2025-01-11T04:49:15.904Z	L2	Mon1	database	success	Connected to MongoDB.
2025-01-11T04:49:16.012Z	L2	Mon1	write	success	Document inserted to MongoDB: {"EndpointApi1":"https://monitoringapi.solaredge.com/equipment/","DeviceTypeID":"6d89c293-e7b0-11ee-8d11-892f4ffe0f4b","DeviceMake":"Solaredge","Api1Body":"{\"command\":\"getData\"}","HeaderforApi1":"{\"Content-Type\":\"application/json\"}","DeviceSerialNumber":"7E1388DA-F3","ModelNo":"675746","PlantID":"37c12996-e7ae-11ee-8d11-892f4ffe0f4b","DeviceType":"3","capacity":33.5,"deviceserialnumber":"7E1388DA-F3","capacity_uom":"KW","DeviceUUID":"cce8005e-e7b0-11ee-8d11-892f4ffe0f4b","modelno":"675746","API_Key":"58G0DE59GK1XD9AHGBPWDU4SOF06VFM2","Creation_Date_time":"2024-03-21T06:45:00.000Z","metadata":{"integratorId":"48f076ef-e7ad-11ee-8d11-892f4ffe0f4b","plantName":"Vishnu","PlantSystemType":"PV","PlantType":"Solar","PlantID":"37c12996-e7ae-11ee-8d11-892f4ffe0f4b","PlantSL_NO":"636412","Plant_capacity":89,"Capacity_UOM":"KW","Azimuthal_angle":180,"Tilt_angle":15,"Country":"India","Region":"South","State":"Telangana","District":"Rangareddy","latitude":17.385,"longitude":78.4867,"deviceUUID":"cce8005e-e7b0-11ee-8d11-892f4ffe0f4b","deviceMake":"Solaredge","deviceType":"3","deviceModelno":"675746","deviceSrialno":"7E1388DA-F3","deviceCapacity":33.5,"deviceCapacity_uom":"KW","API_Key":"58G0DE59GK1XD9AHGBPWDU4SOF06VFM2"},"_id":"6781f84b6615b3629bf1a5ef"}
